shuku_gyou=7 shuku_retu=7 n_shuku=49
Number of ID for KL henkan = 120
Number of ID for tch = 60
Number of ID for test = 60
sigma=6
1,0.250513, 30.17
2,0.402561, 54.33
3,0.495983, 69.56
4,0.574640, 76.58
5,0.634219, 79.25
6,0.682178, 81.44
7,0.727808, 82.78
8,0.767602, 82.94
9,0.797200, 84.08
10,0.824940, 84.36
11,0.844955, 84.53
12,0.863466, 84.86
13,0.879298, 85.22
14,0.893510, 85.28
15,0.906916, 85.22
16,0.919330, 85.19
17,0.929378, 85.44
18,0.937802, 85.47
19,0.945244, 85.64
20,0.952013, 85.67
21,0.958288, 85.69
22,0.963861, 85.69
23,0.968252, 85.67
24,0.972551, 85.69
25,0.976012, 85.72
26,0.979047, 85.75
27,0.981919, 85.78
28,0.984359, 85.81
29,0.986660, 85.81
30,0.988930, 85.81
31,0.990660, 85.81
32,0.992174, 85.81
33,0.993638, 85.81
34,0.994850, 85.81
35,0.995727, 85.78
36,0.996484, 85.78
37,0.997175, 85.78
38,0.997758, 85.78
39,0.998299, 85.78
40,0.998682, 85.78
41,0.999043, 85.78
42,0.999280, 85.78
43,0.999475, 85.78
44,0.999661, 85.78
45,0.999763, 85.78
46,0.999856, 85.78
47,0.999915, 85.78
48,0.999960, 85.78
49,1.000000, 85.78
